时间/s	马赫数	高度/m	外界大气温度/C	中央设备舱温度/C	前起舱温度/C
1605.00 	0.00 	15.51 	30.45 	40.71 	27.54 
1606.00 	0.10 	15.56 	30.45 	40.67 	27.55 
1607.00 	0.11 	15.57 	30.45 	40.65 	27.55 
1608.00 	0.12 	15.59 	30.45 	40.64 	27.57 
1609.00 	0.12 	15.63 	30.45 	40.63 	27.59 
1610.00 	0.13 	15.69 	30.45 	40.63 	27.62 
1611.00 	0.14 	15.72 	30.45 	40.61 	27.65 
1612.00 	0.15 	15.79 	30.45 	40.62 	27.70 
1613.00 	0.15 	15.83 	30.45 	40.61 	27.73 
1614.00 	0.16 	15.87 	30.45 	40.60 	27.78 
1615.00 	0.17 	15.93 	30.45 	40.59 	27.82 
1616.00 	0.18 	15.97 	30.45 	40.57 	27.85 
1617.00 	0.18 	16.05 	30.45 	40.56 	27.89 
1618.00 	0.19 	16.11 	30.45 	40.54 	27.95 
1619.00 	0.20 	16.08 	30.45 	40.51 	28.02 
1620.00 	0.20 	16.36 	30.45 	40.50 	28.08 
1621.00 	0.21 	21.02 	24.16 	40.49 	28.13 
1622.00 	0.21 	28.84 	23.99 	40.48 	28.18 
1623.00 	0.22 	33.93 	23.86 	40.47 	28.24 
1624.00 	0.22 	37.57 	23.77 	40.47 	28.30 
1625.00 	0.23 	42.78 	23.70 	40.45 	28.36 
1626.00 	0.23 	49.22 	23.58 	40.45 	28.42 
1627.00 	0.24 	55.91 	23.46 	40.43 	28.45 
1628.00 	0.24 	62.69 	23.35 	40.42 	28.50 
1629.00 	0.24 	69.68 	23.31 	40.41 	28.52 
1630.00 	0.25 	76.65 	23.14 	40.37 	28.57 
1631.00 	0.25 	83.85 	23.06 	40.35 	28.66 
1632.00 	0.26 	91.77 	22.95 	40.34 	28.76 
1633.00 	0.26 	101.61 	22.90 	40.33 	28.79 
1634.00 	0.26 	113.55 	22.79 	40.32 	28.84 
1635.00 	0.26 	127.30 	22.72 	40.32 	28.90 
1636.00 	0.27 	143.06 	22.63 	40.33 	28.95 
1637.00 	0.27 	161.88 	22.60 	40.33 	29.00 
1638.00 	0.27 	183.32 	22.61 	40.33 	29.02 
1639.00 	0.27 	206.71 	22.66 	40.32 	29.01 
1640.00 	0.27 	231.65 	22.65 	40.32 	28.93 
1641.00 	0.27 	257.55 	22.65 	40.30 	28.85 
1642.00 	0.27 	284.15 	22.65 	40.29 	28.81 
1643.00 	0.27 	311.24 	22.66 	40.28 	28.80 
1644.00 	0.27 	338.32 	22.69 	40.27 	28.79 
1645.00 	0.27 	365.15 	22.71 	40.25 	28.78 
1646.00 	0.27 	391.60 	22.72 	40.22 	28.77 
1647.00 	0.27 	417.48 	22.73 	40.21 	28.76 
1648.00 	0.27 	442.64 	22.75 	40.20 	28.76 
1649.00 	0.26 	467.01 	22.77 	40.19 	28.76 
1650.00 	0.26 	490.75 	22.76 	40.19 	28.77 
1651.00 	0.27 	513.86 	22.80 	40.18 	28.77 
1652.00 	0.27 	536.47 	22.80 	40.17 	28.78 
1653.00 	0.27 	558.55 	22.79 	40.16 	28.78 
1654.00 	0.27 	580.32 	22.79 	40.16 	28.78 
1655.00 	0.27 	601.86 	22.80 	40.14 	28.79 
1656.00 	0.27 	623.16 	22.77 	40.13 	28.79 
1657.00 	0.27 	644.16 	22.72 	40.11 	28.80 
1658.00 	0.27 	664.80 	22.73 	40.11 	28.79 
1659.00 	0.27 	684.69 	22.68 	40.11 	28.79 
1660.00 	0.27 	703.35 	22.63 	40.10 	28.79 
1661.00 	0.27 	720.47 	22.56 	40.10 	28.79 
1662.00 	0.27 	736.41 	22.48 	40.08 	28.78 
1663.00 	0.28 	751.53 	22.40 	40.08 	28.79 
1664.00 	0.28 	766.04 	22.32 	40.07 	28.78 
1665.00 	0.28 	780.12 	22.23 	40.07 	28.78 
1666.00 	0.29 	793.79 	22.11 	40.06 	28.78 
1667.00 	0.29 	807.24 	22.02 	40.05 	28.78 
1668.00 	0.29 	821.11 	21.91 	40.05 	28.77 
1669.00 	0.30 	836.19 	21.83 	40.03 	28.77 
1670.00 	0.30 	852.74 	21.78 	40.03 	28.77 
1671.00 	0.30 	870.86 	21.72 	40.02 	28.77 
1672.00 	0.30 	890.49 	21.67 	40.01 	28.77 
1673.00 	0.30 	911.10 	21.69 	40.01 	28.76 
1674.00 	0.30 	931.82 	21.67 	40.00 	28.76 
1675.00 	0.30 	952.15 	21.64 	39.99 	28.76 
1676.00 	0.31 	971.45 	21.58 	39.99 	28.75 
1677.00 	0.31 	989.31 	21.53 	39.98 	28.75 
1678.00 	0.31 	1005.94 	21.45 	39.98 	28.75 
1679.00 	0.31 	1021.58 	21.38 	39.97 	28.74 
1680.00 	0.32 	1036.23 	21.29 	39.97 	28.74 
1681.00 	0.32 	1050.15 	21.18 	39.96 	28.74 
1682.00 	0.32 	1063.47 	21.02 	39.96 	28.74 
1683.00 	0.33 	1076.37 	20.84 	39.96 	28.74 
1684.00 	0.33 	1089.34 	20.74 	39.95 	28.73 
1685.00 	0.33 	1102.81 	20.62 	39.95 	28.73 
1686.00 	0.34 	1116.74 	20.49 	39.95 	28.73 
1687.00 	0.34 	1130.81 	20.32 	39.94 	28.73 
1688.00 	0.34 	1145.60 	20.30 	39.94 	28.73 
1689.00 	0.35 	1160.86 	20.24 	39.94 	28.73 
1690.00 	0.35 	1176.54 	20.08 	39.94 	28.73 
1691.00 	0.35 	1192.82 	19.96 	39.93 	28.73 
1692.00 	0.35 	1209.40 	19.87 	39.93 	28.73 
1693.00 	0.36 	1226.28 	19.70 	39.93 	28.73 
1694.00 	0.36 	1243.44 	19.59 	39.93 	28.73 
1695.00 	0.36 	1260.51 	19.45 	39.92 	28.72 
1696.00 	0.37 	1277.76 	19.28 	39.92 	28.72 
1697.00 	0.37 	1295.13 	19.22 	39.92 	28.72 
1698.00 	0.37 	1312.48 	19.15 	39.92 	28.72 
1699.00 	0.37 	1329.80 	19.11 	39.92 	28.72 
1700.00 	0.38 	1347.11 	19.06 	39.92 	28.72 
1701.00 	0.38 	1364.57 	19.04 	39.91 	28.71 
1702.00 	0.38 	1382.14 	19.02 	39.91 	28.71 
1703.00 	0.39 	1399.50 	18.95 	39.91 	28.71 
1704.00 	0.39 	1416.88 	18.94 	39.91 	28.71 
1705.00 	0.39 	1434.64 	18.87 	39.91 	28.71 
1706.00 	0.40 	1452.22 	18.85 	39.91 	28.71 
1707.00 	0.40 	1469.26 	18.77 	39.89 	28.71 
1708.00 	0.40 	1486.82 	18.78 	39.89 	28.70 
1709.00 	0.41 	1504.76 	18.70 	39.89 	28.70 
1710.00 	0.41 	1522.52 	18.64 	39.89 	28.70 
1711.00 	0.41 	1539.98 	18.51 	39.89 	28.69 
1712.00 	0.41 	1557.68 	18.50 	39.89 	28.69 
1713.00 	0.42 	1576.26 	18.33 	39.88 	28.69 
1714.00 	0.42 	1593.50 	18.36 	39.88 	28.68 
1715.00 	0.42 	1612.21 	18.32 	39.88 	28.68 
1716.00 	0.43 	1631.00 	18.21 	39.88 	28.68 
1717.00 	0.43 	1647.75 	18.07 	39.87 	28.68 
1718.00 	0.43 	1664.65 	18.20 	39.87 	28.67 
1719.00 	0.44 	1681.96 	18.27 	39.87 	28.67 
1720.00 	0.44 	1698.32 	18.15 	39.87 	28.67 
1721.00 	0.44 	1714.67 	18.07 	39.87 	28.67 
1722.00 	0.45 	1731.09 	18.00 	39.87 	28.66 
1723.00 	0.45 	1747.81 	17.99 	39.87 	28.66 
1724.00 	0.45 	1765.06 	17.78 	39.86 	28.66 
1725.00 	0.45 	1782.04 	17.74 	39.87 	28.66 
1726.00 	0.46 	1798.65 	17.57 	39.86 	28.65 
1727.00 	0.46 	1815.70 	17.44 	39.86 	28.66 
1728.00 	0.46 	1832.98 	17.37 	39.87 	28.65 
1729.00 	0.47 	1849.70 	17.14 	39.86 	28.65 
1730.00 	0.47 	1865.95 	16.90 	39.87 	28.65 
1731.00 	0.47 	1883.15 	16.93 	39.87 	28.65 
1732.00 	0.48 	1900.71 	16.43 	39.87 	28.65 
1733.00 	0.48 	1918.13 	16.36 	39.87 	28.65 
1734.00 	0.48 	1937.84 	16.28 	39.87 	28.66 
1735.00 	0.48 	1955.30 	16.06 	39.87 	28.66 
1736.00 	0.49 	1969.73 	15.52 	39.87 	28.66 
1737.00 	0.49 	1983.27 	15.53 	39.87 	28.66 
1738.00 	0.50 	2000.48 	15.12 	39.88 	28.66 
1739.00 	0.50 	2016.05 	14.96 	39.88 	28.66 
1740.00 	0.50 	2034.80 	14.72 	39.87 	28.67 
1741.00 	0.51 	2057.08 	14.37 	39.88 	28.66 
1742.00 	0.51 	2076.50 	14.32 	39.88 	28.67 
1743.00 	0.50 	2102.61 	14.49 	39.88 	28.67 
1744.00 	0.50 	2129.86 	14.27 	39.88 	28.67 
1745.00 	0.51 	2152.13 	13.98 	39.87 	28.67 
1746.00 	0.51 	2176.46 	13.74 	39.87 	28.68 
1747.00 	0.51 	2202.81 	13.59 	39.87 	28.68 
1748.00 	0.51 	2230.00 	13.42 	39.87 	28.68 
1749.00 	0.51 	2259.17 	13.40 	39.86 	28.68 
1750.00 	0.51 	2290.21 	13.33 	39.86 	28.68 
1751.00 	0.51 	2321.60 	13.24 	39.86 	28.68 
1752.00 	0.52 	2352.40 	13.13 	39.85 	28.68 
1753.00 	0.52 	2383.23 	12.99 	39.85 	28.67 
1754.00 	0.52 	2414.23 	12.96 	39.85 	28.67 
1755.00 	0.52 	2445.09 	12.95 	39.84 	28.66 
1756.00 	0.52 	2475.49 	12.95 	39.84 	28.66 
1757.00 	0.52 	2505.44 	13.01 	39.84 	28.65 
1758.00 	0.52 	2534.34 	12.97 	39.84 	28.65 
1759.00 	0.52 	2561.74 	12.90 	39.84 	28.65 
1760.00 	0.52 	2588.56 	12.83 	39.84 	28.64 
1761.00 	0.52 	2615.57 	12.72 	39.84 	28.64 
1762.00 	0.52 	2643.33 	12.61 	39.84 	28.64 
1763.00 	0.52 	2670.98 	12.44 	39.84 	28.65 
1764.00 	0.53 	2698.58 	12.27 	39.85 	28.64 
1765.00 	0.53 	2727.07 	12.12 	39.85 	28.66 
1766.00 	0.53 	2756.65 	11.97 	39.85 	28.66 
1767.00 	0.53 	2786.44 	11.85 	39.85 	28.66 
1768.00 	0.53 	2816.28 	11.75 	39.84 	28.67 
1769.00 	0.53 	2846.56 	11.66 	39.84 	28.67 
1770.00 	0.53 	2877.01 	11.65 	39.83 	28.67 
1771.00 	0.53 	2906.43 	11.64 	39.82 	28.66 
1772.00 	0.53 	2934.50 	11.63 	39.82 	28.66 
1773.00 	0.53 	2961.47 	11.49 	39.81 	28.64 
1774.00 	0.53 	2987.64 	11.40 	39.81 	28.64 
1775.00 	0.53 	3013.07 	11.37 	39.81 	28.63 
1776.00 	0.53 	3038.69 	11.30 	39.81 	28.63 
1777.00 	0.54 	3065.16 	11.29 	39.81 	28.63 
1778.00 	0.54 	3092.67 	11.22 	39.82 	28.63 
1779.00 	0.54 	3120.40 	11.19 	39.82 	28.63 
1780.00 	0.54 	3148.26 	11.11 	39.83 	28.64 
1781.00 	0.54 	3176.55 	11.03 	39.82 	28.64 
1782.00 	0.54 	3205.37 	10.97 	39.82 	28.65 
1783.00 	0.54 	3234.76 	10.97 	39.81 	28.65 
1784.00 	0.54 	3264.50 	10.96 	39.80 	28.64 
1785.00 	0.54 	3294.65 	11.03 	39.80 	28.63 
1786.00 	0.54 	3324.31 	11.12 	39.79 	28.62 
1787.00 	0.54 	3352.22 	11.21 	39.78 	28.61 
1788.00 	0.54 	3378.54 	11.23 	39.78 	28.61 
1789.00 	0.54 	3403.23 	11.21 	39.79 	28.60 
1790.00 	0.54 	3426.87 	11.13 	39.80 	28.61 
1791.00 	0.54 	3449.20 	11.06 	39.80 	28.62 
1792.00 	0.54 	3471.25 	11.02 	39.80 	28.62 
1793.00 	0.55 	3493.94 	10.92 	39.80 	28.63 
1794.00 	0.55 	3517.68 	10.83 	39.79 	28.62 
1795.00 	0.55 	3542.07 	10.77 	39.77 	28.61 
1796.00 	0.55 	3567.35 	10.76 	39.77 	28.60 
1797.00 	0.55 	3593.70 	10.63 	39.77 	28.58 
1798.00 	0.55 	3621.02 	10.53 	39.76 	28.58 
1799.00 	0.55 	3648.24 	10.40 	39.77 	28.57 
1800.00 	0.55 	3675.52 	10.34 	39.78 	28.58 
1801.00 	0.56 	3703.60 	10.22 	39.78 	28.58 
1802.00 	0.56 	3732.34 	9.98 	39.78 	28.59 
1803.00 	0.56 	3761.00 	9.90 	39.77 	28.59 
1804.00 	0.56 	3790.13 	9.75 	39.77 	28.58 
1805.00 	0.56 	3819.87 	9.72 	39.75 	28.57 
1806.00 	0.56 	3850.68 	9.76 	39.75 	28.55 
1807.00 	0.56 	3882.81 	9.73 	39.75 	28.54 
1808.00 	0.56 	3915.54 	9.62 	39.76 	28.53 
1809.00 	0.56 	3947.66 	9.67 	39.76 	28.54 
1810.00 	0.56 	3978.83 	9.75 	39.76 	28.55 
1811.00 	0.56 	4009.55 	9.90 	39.76 	28.55 
1812.00 	0.56 	4039.44 	9.95 	39.75 	28.54 
1813.00 	0.57 	4067.74 	10.04 	39.74 	28.53 
1814.00 	0.56 	4094.98 	10.37 	39.73 	28.51 
1815.00 	0.56 	4121.98 	10.57 	39.73 	28.50 
1816.00 	0.56 	4148.02 	10.67 	39.74 	28.50 
1817.00 	0.57 	4171.88 	10.68 	39.75 	28.51 
1818.00 	0.57 	4194.93 	10.63 	39.75 	28.53 
1819.00 	0.57 	4218.26 	10.57 	39.74 	28.51 
1820.00 	0.57 	4241.76 	10.11 	39.73 	28.50 
1821.00 	0.57 	4265.81 	9.55 	39.72 	28.47 
1822.00 	0.57 	4291.10 	9.13 	39.72 	28.46 
1823.00 	0.57 	4317.58 	8.69 	39.73 	28.45 
1824.00 	0.57 	4344.80 	8.39 	39.74 	28.47 
1825.00 	0.57 	4371.72 	8.54 	39.74 	28.47 
1826.00 	0.56 	4396.59 	9.32 	39.73 	28.48 
1827.00 	0.57 	4417.63 	9.77 	39.72 	28.46 
1828.00 	0.57 	4435.25 	9.75 	39.71 	28.44 
1829.00 	0.57 	4450.41 	9.33 	39.71 	28.43 
1830.00 	0.57 	4464.94 	8.78 	39.73 	28.43 
1831.00 	0.57 	4479.27 	9.08 	39.73 	28.43 
1832.00 	0.57 	4493.81 	9.25 	39.73 	28.43 
1833.00 	0.57 	4508.76 	10.05 	39.72 	28.43 
1834.00 	0.57 	4524.17 	10.57 	39.71 	28.40 
1835.00 	0.57 	4539.27 	10.97 	39.70 	28.39 
1836.00 	0.58 	4553.95 	11.23 	39.71 	28.38 
1837.00 	0.58 	4569.62 	11.42 	39.72 	28.39 
1838.00 	0.58 	4586.67 	11.61 	39.73 	28.40 
1839.00 	0.58 	4605.20 	11.73 	39.71 	28.40 
1840.00 	0.58 	4625.22 	11.79 	39.70 	28.37 
1841.00 	0.59 	4646.55 	11.77 	39.70 	28.35 
1842.00 	0.59 	4669.05 	11.64 	39.70 	28.34 
1843.00 	0.59 	4692.98 	11.53 	39.71 	28.34 
1844.00 	0.59 	4717.95 	11.37 	39.72 	28.36 
1845.00 	0.59 	4743.45 	11.23 	39.71 	28.35 
1846.00 	0.59 	4769.54 	11.04 	39.69 	28.33 
1847.00 	0.59 	4796.02 	10.90 	39.69 	28.31 
1848.00 	0.59 	4822.64 	10.85 	39.70 	28.31 
1849.00 	0.59 	4848.89 	10.73 	39.72 	28.31 
1850.00 	0.59 	4874.31 	10.66 	39.71 	28.32 
1851.00 	0.59 	4898.70 	10.59 	39.70 	28.30 
1852.00 	0.59 	4922.06 	10.55 	39.69 	28.29 
1853.00 	0.59 	4944.39 	10.32 	39.69 	28.26 
1854.00 	0.59 	4965.63 	10.18 	39.70 	28.26 
1855.00 	0.60 	4986.71 	10.06 	39.71 	28.26 
1856.00 	0.60 	5008.45 	9.90 	39.70 	28.27 
1857.00 	0.60 	5030.72 	9.77 	39.69 	28.26 
1858.00 	0.60 	5053.26 	9.62 	39.68 	28.23 
1859.00 	0.60 	5076.18 	9.47 	39.69 	28.22 
1860.00 	0.60 	5099.44 	9.30 	39.70 	28.22 
1861.00 	0.60 	5122.89 	9.11 	39.70 	28.23 
1862.00 	0.60 	5146.41 	8.95 	39.69 	28.22 
1863.00 	0.60 	5169.83 	8.78 	39.68 	28.19 
1864.00 	0.60 	5193.12 	8.58 	39.68 	28.16 
1865.00 	0.60 	5216.01 	8.34 	39.69 	28.17 
1866.00 	0.60 	5238.70 	8.15 	39.69 	28.18 
1867.00 	0.61 	5261.38 	7.93 	39.68 	28.17 
1868.00 	0.61 	5283.92 	7.73 	39.67 	28.15 
1869.00 	0.61 	5306.58 	7.61 	39.67 	28.12 
1870.00 	0.61 	5329.79 	7.43 	39.69 	28.13 
1871.00 	0.61 	5353.29 	7.17 	39.69 	28.13 
1872.00 	0.61 	5377.25 	7.10 	39.68 	28.12 
1873.00 	0.61 	5401.61 	6.98 	39.66 	28.10 
1874.00 	0.61 	5426.12 	6.84 	39.67 	28.08 
1875.00 	0.61 	5448.96 	6.60 	39.68 	28.08 
1876.00 	0.61 	5470.54 	6.33 	39.68 	28.09 
1877.00 	0.61 	5490.87 	6.09 	39.67 	28.07 
1878.00 	0.61 	5510.85 	5.88 	39.66 	28.05 
1879.00 	0.61 	5530.52 	5.69 	39.67 	28.03 
1880.00 	0.62 	5550.26 	5.46 	39.68 	28.04 
1881.00 	0.62 	5570.34 	5.34 	39.68 	28.04 
1882.00 	0.62 	5590.81 	5.12 	39.66 	28.02 
1883.00 	0.62 	5611.54 	4.95 	39.66 	27.99 
1884.00 	0.62 	5632.46 	4.74 	39.67 	27.99 
1885.00 	0.62 	5653.81 	4.61 	39.68 	28.01 
1886.00 	0.62 	5675.51 	4.39 	39.66 	28.00 
1887.00 	0.62 	5697.43 	4.23 	39.65 	27.97 
1888.00 	0.62 	5719.69 	4.08 	39.66 	27.94 
1889.00 	0.62 	5742.47 	4.04 	39.67 	27.95 
1890.00 	0.62 	5765.36 	3.95 	39.66 	27.95 
1891.00 	0.62 	5787.97 	3.90 	39.64 	27.92 
1892.00 	0.62 	5809.59 	3.89 	39.65 	27.89 
1893.00 	0.62 	5829.77 	3.85 	39.66 	27.90 
1894.00 	0.62 	5849.28 	3.80 	39.66 	27.92 
1895.00 	0.62 	5868.18 	3.74 	39.64 	27.88 
1896.00 	0.62 	5886.20 	3.59 	39.64 	27.85 
1897.00 	0.62 	5903.81 	3.47 	39.65 	27.84 
1898.00 	0.63 	5921.15 	3.24 	39.66 	27.85 
1899.00 	0.63 	5938.28 	2.96 	39.65 	27.86 
1900.00 	0.63 	5955.30 	2.75 	39.63 	27.81 
1901.00 	0.63 	5972.61 	2.50 	39.64 	27.78 
1902.00 	0.63 	5990.21 	2.27 	39.65 	27.82 
1903.00 	0.63 	6008.03 	1.94 	39.64 	27.80 
1904.00 	0.63 	6025.92 	1.62 	39.63 	27.79 
1905.00 	0.63 	6044.14 	1.32 	39.64 	27.77 
1906.00 	0.63 	6063.16 	1.10 	39.65 	27.78 
1907.00 	0.64 	6082.76 	0.87 	39.64 	27.77 
1908.00 	0.64 	6102.90 	0.63 	39.62 	27.74 
1909.00 	0.64 	6124.14 	0.50 	39.63 	27.72 
1910.00 	0.64 	6146.10 	0.39 	39.65 	27.72 
1911.00 	0.64 	6168.68 	0.32 	39.63 	27.72 
1912.00 	0.64 	6191.65 	0.24 	39.62 	27.69 
1913.00 	0.64 	6214.91 	0.08 	39.63 	27.67 
1914.00 	0.64 	6237.63 	-0.05 	39.64 	27.68 
1915.00 	0.64 	6259.68 	-0.28 	39.63 	27.67 
1916.00 	0.64 	6281.14 	-0.40 	39.61 	27.63 
1917.00 	0.64 	6301.94 	-0.44 	39.63 	27.62 
1918.00 	0.64 	6322.31 	-0.54 	39.63 	27.62 
1919.00 	0.64 	6341.97 	-0.52 	39.62 	27.61 
1920.00 	0.64 	6361.00 	-0.48 	39.61 	27.58 
1921.00 	0.64 	6379.09 	-0.40 	39.62 	27.58 
1922.00 	0.64 	6396.05 	-0.39 	39.62 	27.59 
1923.00 	0.64 	6411.67 	-0.41 	39.61 	27.55 
1924.00 	0.64 	6425.90 	-0.37 	39.60 	27.53 
1925.00 	0.64 	6439.04 	-0.37 	39.62 	27.54 
1926.00 	0.64 	6451.34 	-0.42 	39.61 	27.53 
1927.00 	0.64 	6463.16 	-0.48 	39.60 	27.51 
1928.00 	0.64 	6474.73 	-0.57 	39.61 	27.48 
1929.00 	0.64 	6486.35 	-0.60 	39.62 	27.50 
1930.00 	0.65 	6498.27 	-0.79 	39.60 	27.49 
1931.00 	0.65 	6510.47 	-0.94 	39.59 	27.44 
1932.00 	0.65 	6523.27 	-1.15 	39.61 	27.44 
1933.00 	0.65 	6537.14 	-1.36 	39.61 	27.43 
1934.00 	0.65 	6552.30 	-1.54 	39.59 	27.40 
1935.00 	0.66 	6569.03 	-1.76 	39.60 	27.38 
1936.00 	0.66 	6587.20 	-2.01 	39.61 	27.39 
1937.00 	0.66 	6606.72 	-2.15 	39.60 	27.38 
1938.00 	0.66 	6627.49 	-2.28 	39.58 	27.36 
1939.00 	0.66 	6649.17 	-2.46 	39.60 	27.35 
1940.00 	0.66 	6671.32 	-2.56 	39.60 	27.36 
1941.00 	0.66 	6693.63 	-2.68 	39.58 	27.32 
1942.00 	0.66 	6716.15 	-2.78 	39.58 	27.29 
1943.00 	0.66 	6738.55 	-2.87 	39.60 	27.30 
1944.00 	0.66 	6760.72 	-2.95 	39.58 	27.29 
1945.00 	0.67 	6782.42 	-3.11 	39.57 	27.24 
1946.00 	0.67 	6803.73 	-3.29 	39.59 	27.25 
1947.00 	0.67 	6825.08 	-3.42 	39.59 	27.25 
1948.00 	0.67 	6846.80 	-3.50 	39.57 	27.22 
1949.00 	0.67 	6868.97 	-3.54 	39.57 	27.21 
1950.00 	0.67 	6891.19 	-3.70 	39.59 	27.23 
1951.00 	0.67 	6912.97 	-3.87 	39.56 	27.21 
1952.00 	0.67 	6933.48 	-4.03 	39.56 	27.16 
1953.00 	0.67 	6952.66 	-4.30 	39.58 	27.16 
1954.00 	0.67 	6971.15 	-4.44 	39.57 	27.15 
1955.00 	0.67 	6989.21 	-4.60 	39.55 	27.12 
1956.00 	0.67 	7007.27 	-4.74 	39.57 	27.11 
1957.00 	0.67 	7025.50 	-4.79 	39.57 	27.13 
1958.00 	0.67 	7043.80 	-4.87 	39.55 	27.10 
1959.00 	0.67 	7062.14 	-4.92 	39.56 	27.09 
1960.00 	0.67 	7080.66 	-5.03 	39.57 	27.09 
1961.00 	0.68 	7099.48 	-5.11 	39.54 	27.07 
1962.00 	0.68 	7118.62 	-5.17 	39.55 	27.04 
1963.00 	0.68 	7138.02 	-5.31 	39.57 	27.05 
1964.00 	0.68 	7157.43 	-5.39 	39.55 	27.03 
1965.00 	0.68 	7176.59 	-5.54 	39.55 	27.01 
1966.00 	0.68 	7195.53 	-5.69 	39.57 	27.01 
1967.00 	0.68 	7214.24 	-5.80 	39.55 	26.99 
1968.00 	0.68 	7232.90 	-5.94 	39.54 	26.95 
1969.00 	0.68 	7251.55 	-6.08 	39.56 	26.94 
1970.00 	0.68 	7269.94 	-6.25 	39.54 	26.95 
1971.00 	0.68 	7288.44 	-6.38 	39.53 	26.92 
1972.00 	0.68 	7306.71 	-6.54 	39.55 	26.91 
1973.00 	0.68 	7324.57 	-6.78 	39.54 	26.92 
1974.00 	0.69 	7342.70 	-6.91 	39.52 	26.88 
1975.00 	0.69 	7361.13 	-7.04 	39.54 	26.87 
1976.00 	0.69 	7379.93 	-7.17 	39.53 	26.89 
1977.00 	0.69 	7398.76 	-7.33 	39.51 	26.85 
1978.00 	0.69 	7417.40 	-7.49 	39.53 	26.83 
1979.00 	0.69 	7435.67 	-7.65 	39.54 	26.84 
1980.00 	0.69 	7453.40 	-7.84 	39.51 	26.81 
1981.00 	0.69 	7470.54 	-8.05 	39.53 	26.78 
1982.00 	0.69 	7487.21 	-8.24 	39.53 	26.80 
1983.00 	0.69 	7503.79 	-8.44 	39.50 	26.75 
1984.00 	0.69 	7520.50 	-8.64 	39.53 	26.76 
1985.00 	0.69 	7537.45 	-8.79 	39.52 	26.77 
1986.00 	0.69 	7554.68 	-8.86 	39.50 	26.72 
1987.00 	0.69 	7572.24 	-8.98 	39.52 	26.71 
1988.00 	0.69 	7589.99 	-9.02 	39.52 	26.73 
1989.00 	0.69 	7607.63 	-9.13 	39.50 	26.66 
1990.00 	0.69 	7624.96 	-9.24 	39.52 	26.68 
1991.00 	0.70 	7641.82 	-9.25 	39.51 	26.69 
1992.00 	0.69 	7658.35 	-9.27 	39.49 	26.64 
1993.00 	0.69 	7674.52 	-9.28 	39.51 	26.64 
1994.00 	0.70 	7690.09 	-9.33 	39.50 	26.64 
1995.00 	0.70 	7704.89 	-9.36 	39.49 	26.59 
1996.00 	0.70 	7719.12 	-9.41 	39.51 	26.59 
1997.00 	0.70 	7733.08 	-9.44 	39.49 	26.58 
1998.00 	0.70 	7747.03 	-9.54 	39.49 	26.54 
1999.00 	0.70 	7761.07 	-9.60 	39.51 	26.56 
2000.00 	0.70 	7775.19 	-9.69 	39.48 	26.53 
2001.00 	0.70 	7789.50 	-9.86 	39.49 	26.50 
2002.00 	0.70 	7804.03 	-10.01 	39.50 	26.51 
2003.00 	0.70 	7818.90 	-10.15 	39.47 	26.47 
2004.00 	0.70 	7834.17 	-10.31 	39.49 	26.46 
2005.00 	0.70 	7849.91 	-10.49 	39.49 	26.48 
2006.00 	0.71 	7866.41 	-10.62 	39.47 	26.45 
2007.00 	0.71 	7883.08 	-10.80 	39.49 	26.43 
2008.00 	0.71 	7899.77 	-10.96 	39.48 	26.44 
2009.00 	0.71 	7917.10 	-11.07 	39.47 	26.38 
2010.00 	0.71 	7933.88 	-11.23 	39.49 	26.40 
2011.00 	0.71 	7950.72 	-11.32 	39.47 	26.38 
2012.00 	0.71 	7967.67 	-11.42 	39.47 	26.35 
2013.00 	0.71 	7984.85 	-11.42 	39.48 	26.35 
2014.00 	0.71 	8002.06 	-11.57 	39.46 	26.32 
2015.00 	0.71 	8019.10 	-11.70 	39.47 	26.28 
2016.00 	0.71 	8035.66 	-11.69 	39.48 	26.32 
2017.00 	0.71 	8052.48 	-11.75 	39.46 	26.26 
2018.00 	0.71 	8069.45 	-11.77 	39.48 	26.26 
2019.00 	0.71 	8086.47 	-11.72 	39.47 	26.27 
2020.00 	0.71 	8103.75 	-11.67 	39.45 	26.21 
2021.00 	0.71 	8121.35 	-11.58 	39.47 	26.24 
2022.00 	0.71 	8139.25 	-11.48 	39.45 	26.22 
2023.00 	0.71 	8157.38 	-11.41 	39.46 	26.18 
2024.00 	0.71 	8175.68 	-11.34 	39.47 	26.20 
2025.00 	0.71 	8193.84 	-11.22 	39.44 	26.16 
2026.00 	0.71 	8211.87 	-11.18 	39.46 	26.15 
2027.00 	0.71 	8229.85 	-11.07 	39.45 	26.14 
2028.00 	0.71 	8247.77 	-10.97 	39.44 	26.08 
2029.00 	0.71 	8265.86 	-10.81 	39.46 	26.08 
2030.00 	0.71 	8283.99 	-10.63 	39.43 	26.07 
2031.00 	0.71 	8302.05 	-10.46 	39.44 	26.04 
2032.00 	0.70 	8319.90 	-10.25 	39.44 	26.06 
2033.00 	0.70 	8337.42 	-10.22 	39.42 	26.00 
2034.00 	0.70 	8354.68 	-10.06 	39.44 	26.00 
2035.00 	0.70 	8371.54 	-9.97 	39.42 	25.99 
2036.00 	0.70 	8388.25 	-9.91 	39.42 	25.95 
2037.00 	0.70 	8404.90 	-9.82 	39.44 	25.96 
2038.00 	0.70 	8421.38 	-9.68 	39.41 	25.93 
